title	pubdate	pubyear	journal	authors	volume	issue	pages	doi	pmid	elocationid	github	data	software
High-throughput mapping of a dynamic signaling network in mammalian cells.	2005 Mar 11	2005	Science	Barrios-Rodiles M, Brown KR, Ozdamar B, Bose R, Liu Z, Donovan RS, Shinjo F, Liu Y, Dembowy J, Taylor IW, Luga V, Przulj N, <strong>Robinson M</strong>, Suzuki H, Hayashizaki Y, Jurisica I, Wrana JL	307	5715	1621-5	10.1126/science.1105776	15761153				
Identifying transcription factor functions and targets by phenotypic activation.	2006 Aug 8	2006	Proc Natl Acad Sci U S A	Chua G, Morris QD, Sopko R, <strong>Robinson MD</strong>, Ryan O, Chan ET, Frey BJ, Andrews BJ, Boone C, Hughes TR	103	32	12045-50	10.1073/pnas.0605140103	16880382				
Global landscape of protein complexes in the yeast Saccharomyces cerevisiae.	2006 Mar 30	2006	Nature	Krogan NJ, Cagney G, Yu H, Zhong G, Guo X, Ignatchenko A, Li J, Pu S, Datta N, Tikuisis AP, Punna T, Peregrín-Alvarez JM, Shales M, Zhang X, Davey M, <strong>Robinson MD</strong>, Paccanaro A, Bray JE, Sheung A, Beattie B, Richards DP, Canadien V, Lalev A, Mena F, Wong P, Starostine A, Canete MM, Vlasblom J, Wu S, Orsi C, Collins SR, Chandran S, Haw R, Rilstone JJ, Gandi K, Thompson NJ, Musso G, St Onge P, Ghanny S, Lam MH, Butland G, Altaf-Ul AM, Kanaya S, Shilatifard A, O'Shea E, Weissman JS, Ingles CJ, Hughes TR, Parkinson J, Gerstein M, Wodak SJ, Emili A, Greenblatt JF	440	7084	637-43	10.1038/nature04670	16554755				
Reconstructing an ancestral mammalian immune supercomplex from a marsupial major histocompatibility complex.	2006 Mar	2006	PLoS Biol	Belov K, Deakin JE, Papenfuss AT, Baker ML, Melman SD, Siddle HV, Gouin N, Goode DL, Sargeant TJ, <strong>Robinson MD</strong>, Wakefield MJ, Mahony S, Cross JG, Benos PV, Samollow PB, Speed TP, Graves JA, Miller RD	4	3	e46	10.1371/journal.pbio.0040046	16435885				
A comparison of Affymetrix gene expression arrays.	2007 Nov 15	2007	BMC Bioinformatics	<strong>Robinson MD</strong>, Speed TP	8		449	10.1186/1471-2105-8-449	18005448				
A dynamic programming approach for the alignment of signal peaks in multiple gas chromatography-mass spectrometry experiments.	2007 Oct 29	2007	BMC Bioinformatics	<strong>Robinson MD</strong>, De Souza DP, Keen WW, Saunders EC, McConville MJ, Speed TP, Likić VA	8		419	10.1186/1471-2105-8-419	17963529				
Moderated statistical tests for assessing differences in tag abundance.	2007 Nov 1	2007	Bioinformatics	<strong>Robinson MD</strong>, Smyth GK	23	21	2881-7	10.1093/bioinformatics/btm453	17881408				
Large-scale mapping of human protein-protein interactions by mass spectrometry.	2007	2007	Mol Syst Biol	Ewing RM, Chu P, Elisma F, Li H, Taylor P, Climie S, McBroom-Cerajewski L, <strong>Robinson MD</strong>, O'Connor L, Li M, Taylor R, Dharsee M, Ho Y, Heilbut A, Moore L, Zhang S, Ornatsky O, Bukhman YV, Ethier M, Sheng Y, Vasilescu J, Abu-Farha M, Lambert JP, Duewel HS, Stewart II, Kuehl B, Hogue K, Colwill K, Gladwish K, Muskat B, Kinach R, Adams SL, Moran MF, Morin GB, Topaloglou T, Figeys D	3		89	10.1038/msb4100134	17353931				
Small-sample estimation of negative binomial dispersion, with applications to SAGE data.	2008 Apr	2008	Biostatistics	<strong>Robinson MD</strong>, Smyth GK	9	2	321-32	10.1093/biostatistics/kxm030	17728317				
Comprehensive genomic characterization defines human glioblastoma genes and core pathways.	2008 Oct 23	2008	Nature	Cancer Genome Atlas Research Network	455	7216	1061-8	10.1038/nature07385	18772890	doi: 10.1038/nature07385			
FIRMA: a method for detection of alternative splicing from exon array data.	2008 Aug 1	2008	Bioinformatics	Purdom E, Simpson KM, <strong>Robinson MD</strong>, Conboy JG, Lapuk AV, Speed TP	24	15	1707-14	10.1093/bioinformatics/btn284	18573797	doi: 10.1093/bioinformatics/btn284			
Differential splicing using whole-transcript microarrays.	2009 May 22	2009	BMC Bioinformatics	<strong>Robinson MD</strong>, Speed TP	10		156	10.1186/1471-2105-10-156	19463149	doi: 10.1186/1471-2105-10-156			
Protocol matters: which methylome are you actually studying?	2010 Aug	2010	Epigenomics	<strong>Robinson MD</strong>, Statham AL, Speed TP, Clark SJ	2	4	587-98	10.2217/epi.10.36	21566704	doi: 10.2217/epi.10.36			
From RNA-seq reads to differential expression results.	2010	2010	Genome Biol	Oshlack A, <strong>Robinson MD</strong>, Young MD	11	12	220	10.1186/gb-2010-11-12-220	21176179	doi: 10.1186/gb-2010-11-12-220			
Evaluation of affinity-based genome-wide DNA methylation data: effects of CpG density, amplification bias, and copy number variation.	2010 Dec	2010	Genome Res	<strong>Robinson MD</strong>, Stirzaker C, Statham AL, Coolen MW, Song JZ, Nair SS, Strbenac D, Speed TP, Clark SJ	20	12	1719-29	10.1101/gr.110601.110	21045081	doi: 10.1101/gr.110601.110			
Repitools: an R package for the analysis of enrichment-based epigenomic data.	2010 Jul 1	2010	Bioinformatics	Statham AL, Strbenac D, Coolen MW, Stirzaker C, Clark SJ, <strong>Robinson MD</strong>	26	13	1662-3	10.1093/bioinformatics/btq247	20457667	doi: 10.1093/bioinformatics/btq247			
A scaling normalization method for differential expression analysis of RNA-seq data.	2010	2010	Genome Biol	<strong>Robinson MD</strong>, Oshlack A	11	3	R25	10.1186/gb-2010-11-3-r25	20196867	doi: 10.1186/gb-2010-11-3-r25			
Consolidation of the cancer genome into domains of repressive chromatin by long-range epigenetic silencing (LRES) reduces transcriptional plasticity.	2010 Mar	2010	Nat Cell Biol	Coolen MW, Stirzaker C, Song JZ, Statham AL, Kassir Z, Moreno CS, Young AN, Varma V, Speed TP, Cowley M, Lacaze P, Kaplan W, <strong>Robinson MD</strong>, Clark SJ	12	3	235-46	10.1038/ncb2023	20173741	doi: 10.1038/ncb2023			
edgeR: a Bioconductor package for differential expression analysis of digital gene expression data.	2010 Jan 1	2010	Bioinformatics	<strong>Robinson MD</strong>, McCarthy DJ, Smyth GK	26	1	139-40	10.1093/bioinformatics/btp616	19910308	doi: 10.1093/bioinformatics/btp616			
Differential gene expression in the siphonophore Nanomia bijuga (Cnidaria) assessed with multiple next-generation sequencing workflows.	2011	2011	PLoS One	Siebert S, <strong>Robinson MD</strong>, Tintori SC, Goetz F, Helm RR, Smith SA, Shaner N, Haddock SH, Dunn CW	6	7	e22953	10.1371/journal.pone.0022953	21829563	doi: 10.1371/journal.pone.0022953			
Discovery pipeline for epigenetically deregulated miRNAs in cancer: integration of primary miRNA transcription.	2011 Jan 21	2011	BMC Genomics	Hulf T, Sibbritt T, Wiklund ED, Bert S, Strbenac D, Statham AL, <strong>Robinson MD</strong>, Clark SJ	12		54	10.1186/1471-2164-12-54	21255435	doi: 10.1186/1471-2164-12-54			
Comparison of methyl-DNA immunoprecipitation (MeDIP) and methyl-CpG binding domain (MBD) protein capture for genome-wide DNA methylation analysis reveal CpG sequence coverage bias.	2011 Jan	2011	Epigenetics	Nair SS, Coolen MW, Stirzaker C, Song JZ, Statham AL, Strbenac D, <strong>Robinson MD</strong>, Clark SJ	6	1	34-44	10.4161/epi.6.1.13313	20818161	doi: 10.4161/epi.6.1.13313			
Copy-number-aware differential analysis of quantitative DNA sequencing data.	2012 Dec	2012	Genome Res	<strong>Robinson MD</strong>, Strbenac D, Stirzaker C, Statham AL, Song J, Speed TP, Clark SJ	22	12	2489-96	10.1101/gr.139055.112	22879430	doi: 10.1101/gr.139055.112			
Savant Genome Browser 2: visualization and analysis for population-scale genomics.	2012 Jul	2012	Nucleic Acids Res	Fiume M, Smith EJ, Brook A, Strbenac D, Turner B, Mezlini AM, <strong>Robinson MD</strong>, Wodak SJ, Brudno M	40	Web Server issue	W615-21	10.1093/nar/gks427	22638571	doi: 10.1093/nar/gks427			
Bisulfite sequencing of chromatin immunoprecipitated DNA (BisChIP-seq) directly informs methylation status of histone-modified DNA.	2012 Jun	2012	Genome Res	Statham AL, <strong>Robinson MD</strong>, Song JZ, Coolen MW, Stirzaker C, Clark SJ	22	6	1120-7	10.1101/gr.132076.111	22466171	doi: 10.1101/gr.132076.111			
Acetylation of H2A.Z is a key epigenetic modification associated with gene deregulation and epigenetic remodeling in cancer.	2012 Feb	2012	Genome Res	Valdés-Mora F, Song JZ, Statham AL, Strbenac D, <strong>Robinson MD</strong>, Nair SS, Patterson KI, Tremethick DJ, Stirzaker C, Clark SJ	22	2	307-21	10.1101/gr.118919.110	21788347	doi: 10.1101/gr.118919.110			
Microbiota-derived hydrogen fuels Salmonella typhimurium invasion of the gut ecosystem.	2013 Dec 11	2013	Cell Host Microbe	Maier L, Vyas R, Cordova CD, <strong>Lindsay H</strong>, Schmidt TS, Brugiroux S, Periaswamy B, Bauer R, Sturm A, Schreiber F, von Mering C, <strong>Robinson MD</strong>, Stecher B, Hardt WD	14	6	641-51	10.1016/j.chom.2013.11.002	24331462	doi: 10.1016/j.chom.2013.11.002			
Count-based differential expression analysis of RNA sequencing data using R and Bioconductor.	2013 Sep	2013	Nat Protoc	Anders S, McCarthy DJ, Chen Y, Okoniewski M, Smyth GK, Huber W, <strong>Robinson MD</strong>	8	9	1765-86	10.1038/nprot.2013.099	23975260	doi: 10.1038/nprot.2013.099			
Directed shotgun proteomics guided by saturated RNA-seq identifies a complete expressed prokaryotic proteome.	2013 Nov	2013	Genome Res	Omasits U, Quebatte M, Stekhoven DJ, Fortes C, Roschitzki B, <strong>Robinson MD</strong>, Dehio C, Ahrens CH	23	11	1916-27	10.1101/gr.151035.112	23878158	doi: 10.1101/gr.151035.112			
miRNA-Seq normalization comparisons need improvement.	2013 Jun	2013	RNA	<strong>Zhou X</strong>, Oshlack A, <strong>Robinson MD</strong>	19	6	733-4	10.1261/rna.037895.112	23616640	doi: 10.1261/rna.037895.112			
Regional activation of the cancer genome by long-range epigenetic remodeling.	2013 Jan 14	2013	Cancer Cell	Bert SA, <strong>Robinson MD</strong>, Strbenac D, Statham AL, Song JZ, Hulf T, Sutherland RL, Coolen MW, Stirzaker C, Clark SJ	23	1	9-22	10.1016/j.ccr.2012.11.006	23245995	doi: 10.1016/j.ccr.2012.11.006			
Epigenetic silencing of monoallelically methylated miRNA loci in precancerous colorectal lesions.	2013 Jul 15	2013	Oncogenesis	Menigatti M, Staiano T, Manser CN, Bauerfeind P, <strong>Komljenovic A</strong>, <strong>Robinson M</strong>, Jiricny J, Buffoli F, Marra G	2	7	e56	10.1038/oncsis.2013.21	23857251	doi: 10.1038/oncsis.2013.21			
Statistical methods for detecting differentially methylated loci and regions.	2014	2014	Front Genet	<strong>Robinson MD</strong>, Kahraman A, <strong>Law CW</strong>, <strong>Lindsay H</strong>, <strong>Nowicka M</strong>, <strong>Weber LM</strong>, <strong>Zhou X</strong>	5		324	10.3389/fgene.2014.00324	25278959	doi: 10.3389/fgene.2014.00324			
Genomics by the beach.	2014 Apr 14	2014	Genome Biol	Hickey PF, <strong>Robinson MD</strong>	15	4	304	10.1186/gb4171	25001045	doi: 10.1186/gb4171			
Relationship between genome and epigenome--challenges and requirements for future research.	2014 Jun 18	2014	BMC Genomics	Almouzni G, Altucci L, Amati B, Ashley N, Baulcombe D, Beaujean N, Bock C, Bongcam-Rudloff E, Bousquet J, Braun S, Bressac-de Paillerets B, Bussemakers M, Clarke L, Conesa A, Estivill X, Fazeli A, Grgurević N, Gut I, Heijmans BT, Hermouet S, Houwing-Duistermaat J, Iacobucci I, Ilaš J, Kandimalla R, Krauss-Etschmann S, Lasko P, Lehmann S, Lindroth A, Majdič G, Marcotte E, Martinelli G, Martinet N, Meyer E, Miceli C, Mills K, Moreno-Villanueva M, Morvan G, Nickel D, Niesler B, Nowacki M, Nowak J, Ossowski S, Pelizzola M, Pochet R, Potočnik U, Radwanska M, Raes J, Rattray M, <strong>Robinson MD</strong>, Roelen B, Sauer S, Schinzer D, Slagboom E, Spector T, Stunnenberg HG, Tiligada E, Torres-Padilla ME, Tsonaka R, Van Soom A, Vidaković M, Widschwendter M	15	1	487	10.1186/1471-2164-15-487	24942464	doi: 10.1186/1471-2164-15-487			
Robustly detecting differential expression in RNA sequencing data using observation weights.	2014 Jun	2014	Nucleic Acids Res	<strong>Zhou X</strong>, <strong>Lindsay H</strong>, <strong>Robinson MD</strong>	42	11	e91	10.1093/nar/gku310	24753412	doi: 10.1093/nar/gku310			
edgeR for differential RNA-seq and ChIP-seq analysis: an application to stem cell biology.	2014	2014	Methods Mol Biol	<strong>Nikolayeva O</strong>, <strong>Robinson MD</strong>	1150		45-79	10.1007/978-1-4939-0512-6_3	24743990	doi: 10.1007/978-1-4939-0512-6_3			
BayMeth: improved DNA methylation quantification for affinity capture sequencing data using a flexible Bayesian approach.	2014 Feb 11	2014	Genome Biol	<strong>Riebler A</strong>, Menigatti M, Song JZ, Statham AL, Stirzaker C, Mahmud N, Mein CA, Clark SJ, <strong>Robinson MD</strong>	15	2	R35	10.1186/gb-2014-15-2-r35	24517713	doi: 10.1186/gb-2014-15-2-r35			
Chromothripsis-like patterns are recurring but heterogeneously distributed features in a survey of 22,347 cancer genome screens.	2014 Jan 29	2014	BMC Genomics	Cai H, Kumar N, Bagheri HC, von Mering C, <strong>Robinson MD</strong>, Baudis M	15		82	10.1186/1471-2164-15-82	24476156	doi: 10.1186/1471-2164-15-82			
Differential analyses for RNA-seq: transcript-level estimates improve gene-level inferences.	2015	2015	F1000Res	<strong>Soneson C</strong>, Love MI, <strong>Robinson MD</strong>	4		1521	10.12688/f1000research.7563.2	26925227	doi: 10.12688/f1000research.7563.2			
Do count-based differential expression methods perform poorly when genes are expressed in only one condition?	2015 Oct 8	2015	Genome Biol	<strong>Zhou X</strong>, <strong>Robinson MD</strong>	16		222	10.1186/s13059-015-0781-3	26450178	doi: 10.1186/s13059-015-0781-3			
Tandem repeat variation in human and great ape populations and its impact on gene expression divergence.	2015 Nov	2015	Genome Res	Bilgin Sonay T, Carvalho T, <strong>Robinson MD</strong>, Greminger MP, Krützen M, Comas D, Highnam G, Mittelman D, Sharp A, Marques-Bonet T, Wagner A	25	11	1591-9	10.1101/gr.190868.115	26290536	doi: 10.1101/gr.190868.115			
Coordinated epigenetic remodelling of transcriptional networks occurs during early breast carcinogenesis.	2015	2015	Clin Epigenetics	Locke WJ, Zotenko E, Stirzaker C, <strong>Robinson MD</strong>, Hinshelwood RA, Stone A, Reddel RR, Huschtscha LI, Clark SJ	7	1	52	10.1186/s13148-015-0086-0	25960784	doi: 10.1186/s13148-015-0086-0			
DUSP4 deficiency caused by promoter hypermethylation drives JNK signaling and tumor cell survival in diffuse large B cell lymphoma.	2015 May 4	2015	J Exp Med	Schmid CA, <strong>Robinson MD</strong>, Scheifinger NA, Müller S, Cogliatti S, Tzankov A, Müller A	212	5	775-92	10.1084/jem.20141957	25847947	doi: 10.1084/jem.20141957			
Computational epigenomics: challenges and opportunities.	2015	2015	Front Genet	<strong>Robinson MD</strong>, Pelizzola M	6		88	10.3389/fgene.2015.00088	25798147	doi: 10.3389/fgene.2015.00088			
Methylome sequencing in triple-negative breast cancer reveals distinct methylation clusters with prognostic value.	2015 Feb 2	2015	Nat Commun	Stirzaker C, Zotenko E, Song JZ, Qu W, Nair SS, Locke WJ, Stone A, Armstong NJ, <strong>Robinson MD</strong>, Dobrovic A, Avery-Kiejda KA, Peters KM, French JD, Stein S, Korbie DJ, Trau M, Forbes JF, Scott RJ, Brown MA, Francis GD, Clark SJ	6		5899	10.1038/ncomms6899	25641231	doi: 10.1038/ncomms6899			
Wnt inhibitory factor 1 (WIF1) is a marker of osteoblastic differentiation stage and is not silenced by DNA methylation in osteosarcoma.	2015 Apr	2015	Bone	Baker EK, Taylor S, Gupte A, Chalk AM, Bhattacharya S, Green AC, Martin TJ, Strbenac D, <strong>Robinson MD</strong>, Purton LE, Walkley CR	73		223-32	10.1016/j.bone.2014.12.063	25571841	doi: 10.1016/j.bone.2014.12.063			
Loss of the Notch effector RBPJ promotes tumorigenesis.	2015 Jan 12	2015	J Exp Med	Kulic I, Robertson G, Chang L, Baker JH, Lockwood WW, Mok W, Fuller M, Fournier M, Wong N, Chou V, <strong>Robinson MD</strong>, Chun HJ, Gilks B, Kempkes B, Thomson TA, Hirst M, Minchinton AI, Lam WL, Jones S, Marra M, Karsan A	212	1	37-52	10.1084/jem.20121192	25512468	doi: 10.1084/jem.20121192			
BAZ2A (TIP5) is involved in epigenetic alterations in prostate cancer and its overexpression predicts disease recurrence.	2015 Jan	2015	Nat Genet	Gu L, Frommel SC, Oakes CC, Simon R, Grupp K, Gerig CY, Bär D, <strong>Robinson MD</strong>, Baer C, Weiss M, Gu Z, Schapira M, Kuner R, Sültmann H, Provenzano M, ICGC Project on Early Onset Prostate Cancer, Yaspo ML, Brors B, Korbel J, Schlomm T, Sauter G, Eils R, Plass C, Santoro R	47	1	22-30	10.1038/ng.3165	25485837	doi: 10.1038/ng.3165			
De novo assembly and sex-specific transcriptome profiling in the sand fly Phlebotomus perniciosus (Diptera, Phlebotominae), a major Old World vector of Leishmania infantum.	2015 Oct 23	2015	BMC Genomics	Petrella V, Aceto S, Musacchia F, Colonna V, <strong>Robinson M</strong>, Benes V, Cicotti G, Bongiorno G, Gradoni L, Volf P, Salvemini M	16		847	10.1186/s12864-015-2088-x	26493315	doi: 10.1186/s12864-015-2088-x			
DRIMSeq: a Dirichlet-multinomial framework for multivariate count outcomes in genomics.	2016	2016	F1000Res	<strong>Nowicka M</strong>, <strong>Robinson MD</strong>	5		1356	10.12688/f1000research.8900.2	28105305	doi: 10.12688/f1000research.8900.2			
Comparison of clustering methods for high-dimensional single-cell flow and mass cytometry data.	2016 Dec	2016	Cytometry A	<strong>Weber LM</strong>, <strong>Robinson MD</strong>	89	12	1084-1096	10.1002/cyto.a.23030	27992111	doi: 10.1002/cyto.a.23030	https://github.com/lmweber/cytometry-clustering-comparison	http://flowrepository.org/id/FR-FCM-ZZPH	
Are Epigenetic Factors Implicated in Chronic Widespread Pain?	2016	2016	PLoS One	Burri A, Marinova Z, <strong>Robinson MD</strong>, Kühnel B, Waldenberger M, Wahl S, Kunze S, Gieger C, Livshits G, Williams F	11	11	e0165548	10.1371/journal.pone.0165548	27832094	doi: 10.1371/journal.pone.0165548			
High-dimensional single-cell analysis reveals the immune signature of narcolepsy.	2016 Nov 14	2016	J Exp Med	Hartmann FJ, Bernard-Valnet R, Quériault C, Mrdjen D, <strong>Weber LM</strong>, Galli E, Krieg C, <strong>Robinson MD</strong>, Nguyen XH, Dauvilliers Y, Liblau RS, Becher B	213	12	2621-2633	10.1084/jem.20160897	27821550				
T-cell acute leukaemia exhibits dynamic interactions with bone marrow microenvironments.	2016 Oct 27	2016	Nature	Hawkins ED, Duarte D, Akinduro O, Khorshed RA, Passaro D, <strong>Nowicka M</strong>, Straszkowski L, Scott MK, Rothery S, Ruivo N, Foster K, Waibel M, Johnstone RW, Harrison SJ, Westerman DA, Quach H, Gribben J, <strong>Robinson MD</strong>, Purton LE, Bonnet D, Lo Celso C	538	7626	518-522	10.1038/nature19801	27750279	doi: 10.1038/nature19801			
CrispRVariants charts the mutation spectrum of genome engineering experiments.	2016 Jul 12	2016	Nat Biotechnol	<strong>Lindsay H</strong>, Burger A, <strong>Biyong B</strong>, Felker A, Hess C, Zaugg J, Chiavacci E, Anders C, Jinek M, Mosimann C, <strong>Robinson MD</strong>	34	7	701-2	10.1038/nbt.3628	27404876	doi: 10.1038/nbt.3628			
Maximizing mutagenesis with solubilized CRISPR-Cas9 ribonucleoprotein complexes.	2016 Jun 1	2016	Development	Burger A, <strong>Lindsay H</strong>, Felker A, Hess C, Anders C, Chiavacci E, Zaugg J, <strong>Weber LM</strong>, Catena R, Jinek M, <strong>Robinson MD</strong>, Mosimann C	143	11	2025-37	10.1242/dev.134809	27130213	doi: 10.1242/dev.134809			http://lmweber.github.io/CrispantCal/
iCOBRA: open, reproducible, standardized and live method benchmarking.	2016 Apr	2016	Nat Methods	<strong>Soneson C</strong>, <strong>Robinson MD</strong>	13	4	283	10.1038/nmeth.3805	27027585	doi: 10.1038/nmeth.3805			http://bioconductor.org/packages/release/bioc/html/iCOBRA.html
Isoform prefiltering improves performance of count-based methods for analysis of differential transcript usage.	2016 Jan 26	2016	Genome Biol	<strong>Soneson C</strong>, <strong>Matthes KL</strong>, <strong>Nowicka M</strong>, <strong>Law CW</strong>, <strong>Robinson MD</strong>	17		12	10.1186/s13059-015-0862-3	26813113	doi: 10.1186/s13059-015-0862-3	https://github.com/markrobinsonuzh/diff_splice_paper		
The hematopoietic oncoprotein FOXP1 promotes tumor cell survival in diffuse large B-cell lymphoma by repressing S1PR2 signaling.	2016 Mar 17	2016	Blood	Flori M, Schmid CA, Sumrall ET, Tzankov A, <strong>Law CW</strong>, <strong>Robinson MD</strong>, Müller A	127	11	1438-48	10.1182/blood-2015-08-662635	26729899	doi: 10.1182/blood-2015-08-662635			
An integrative strategy to identify the entire protein coding potential of prokaryotic genomes by proteogenomics.	2017 Dec	2017	Genome Res	Omasits U, Varadarajan AR, Schmid M, Goetze S, Melidis D, Bourqui M, <strong>Nikolayeva O</strong>, Québatte M, Patrignani A, Dehio C, Frey JE, <strong>Robinson MD</strong>, Wollscheid B, Ahrens CH	27	12	2083-2095	10.1101/gr.218255.116	29141959	doi: 10.1101/gr.218255.116			
Highly efficient DNA-free gene disruption in the agricultural pest Ceratitis capitata by CRISPR-Cas9 ribonucleoprotein complexes.	2017 Aug 30	2017	Sci Rep	Meccariello A, Monti SM, Romanelli A, Colonna R, Primo P, Inghilterra MG, Del Corsano G, Ramaglia A, Iazzetti G, Chiarore A, Patti F, Heinze SD, Salvemini M, <strong>Lindsay H</strong>, Chiavacci E, Burger A, <strong>Robinson MD</strong>, Mosimann C, Bopp D, Saccone G	7	1	10061	10.1038/s41598-017-10347-5	28855635	doi: 10.1038/s41598-017-10347-5			
stageR: a general stage-wise method for controlling the gene-level false discovery rate in differential expression and differential transcript usage.	2017 Aug 7	2017	Genome Biol	Van den Berge K, <strong>Soneson C</strong>, <strong>Robinson MD</strong>, Clement L	18	1	151	10.1186/s13059-017-1277-0	28784146	doi: 10.1186/s13059-017-1277-0			
A unique enhancer boundary complex on the mouse ribosomal RNA genes persists after loss of Rrn3 or UBF and the inactivation of RNA polymerase I transcription.	2017 Jul	2017	PLoS Genet	Herdman C, Mars JC, Stefanovsky VY, Tremblay MG, Sabourin-Felix M, <strong>Lindsay H</strong>, <strong>Robinson MD</strong>, Moss T	13	7	e1006899	10.1371/journal.pgen.1006899	28715449	doi: 10.1371/journal.pgen.1006899			
CyTOF workflow: differential discovery in high-throughput high-dimensional cytometry datasets.	2017	2017	F1000Res	<strong>Nowicka M</strong>, Krieg C, <strong>Crowell HL</strong>, <strong>Weber LM</strong>, Hartmann FJ, Guglietta S, Becher B, Levesque MP, <strong>Robinson MD</strong>	6		748	10.12688/f1000research.11622.3	28663787	doi: 10.12688/f1000research.11622.3			
Male sex in houseflies is determined by Mdmd, a paralog of the generic splice factor gene CWC22.	2017 May 12	2017	Science	Sharma A, Heinze SD, Wu Y, Kohlbrenner T, <strong>Morilla I</strong>, Brunner C, Wimmer EA, van de Zande L, <strong>Robinson MD</strong>, Beukeboom LW, Bopp D	356	6338	642-645	10.1126/science.aam5498	28495751	doi: 10.1126/science.aam5498			
